"rowid","votereg","inputregstate","region","division","CONSENT","TAX_rate","STATE_DC","STATE_PR","SEXWORK","LOCALNEWS","REDFLAG","STUDEBT","GND","BDS","PRISVOTE","PROSPAY","FEES","SSCAP","OVERTIME","FOURDAY","TELMED","MINWAGE","WEALTAX","NAMEANYDEM","NAMEANYREP","employ","job","work_employees","work_comp","pp_daily_intuse_work","work_customers","work_benefits","work_pay","jobsec","side_job_US_1","side_job_US_2","side_job_US_3","side_job_US_4","side_job_US_5","side_job_US_6","side_job_US_7","side_job_US_8","employ_worktype","employ_worktype_other","NRSCLASS","DOWORK","WORKDIVERSE","WORKSAFE","class_neighbor","parents_ed","PAID","class_open","KARNOSKI","REGENTS","PICS","SHELBY","BURWELL","REDISTRICTING","SCOTUSQ1","SCOTUSQ2","SCOTUSGRID_split","roberts1","thomas1","sotomayor1","ginsberg1","kavanaugh1","kagan1","alito1","breyer1","gorsuch1","roberts2","thomas2","sotomayor2","ginsberg2","kavanaugh2","kagan2","alito2","breyer2","gorsuch2","COURTVIEW","COURTAPPROVE","PRES_APP","pid3","pid3_t","pid7","dtrpsupp","ideo5","turnout16","presvote16post","presvote16post_t","djtrelct","turnout18post","housevote18post","housevote18post_t","fin_emerg","fin_checking","fin_savings","fin_cashing","fin_cc","fin_loan","fin_car","fin_sticks","HOME_OWN","OPIOID","union_combined_1","union_combined_5","union_combined_2","union_combined_6","union_combined_3","union_combined_4","birthyr","age5","educ","educ4","educ2","race","race_t","race4","race2","hispanic","faminc_new","urban","GENDER_4","GENDER4_open","weight"
11,1,19,2,4,1,1,6,6,5,4,1,3,4,3,2,4,5,3,2,2,2,5,1,"No clue","No clue",1,NA,2,2,4,3,1,1,3,2,2,2,2,2,2,1,2,2,NA,4,"Process jobs and get ready for shipping",1,1,2,4,4,"Low income families",1,3,1,3,1,3,5,"No clue",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,3,5,NA,8,NA,6,2,7,NA,3,2,NA,NA,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1973,3,6,4,2,1,NA,1,1,2,3,3,2,NA,0.9527
12,1,46,2,4,1,1,1,1,2,2,1,1,1,5,2,1,1,1,1,3,1,1,1,"Pelosi","Noem",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"Workers provide the effort needed to build, to repair, to provide services to others, to actually do the physical work for corporations. They deserve higher pay and benefits for being the base upon which the billions of dollars are earned by those corporations.",1,1,2,2,1,2,9,"Roberts",2,4,5,1,1,5,1,5,1,5,5,5,3,1,5,2,4,3,5,2,4,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,1942,5,5,3,2,1,NA,1,1,2,10,2,2,NA,1.2628
13,1,4,4,8,1,3,5,5,5,5,4,4,3,5,5,4,5,6,5,4,5,5,5,"Pelosi","Martha McSally",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,"Own home",2,3,3,3,3,3,9,"Roberts",1,2,1,5,5,1,5,5,5,1,4,5,1,1,5,1,1,2,5,2,4,1,2,NA,6,1,4,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,1953,5,6,4,2,1,NA,1,1,2,9,1,1,NA,0.6473
14,1,4,4,8,1,2,3,1,1,3,1,1,1,3,3,1,2,1,1,3,1,1,1,"Synama","Collins",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,"",1,1,1,3,1,3,9,"Roberts",2,2,4,1,1,5,1,3,3,5,3,4,2,2,5,2,4,3,5,1,2,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,2,1,1,2,1,1,1,1,1,1,2,1,2,2,2,2,1956,4,5,3,2,1,NA,1,1,2,97,2,2,NA,0.515
15,1,41,4,9,1,4,5,5,2,5,5,5,5,1,5,5,5,5,1,1,5,5,5,"mazzie hirono","Lisa Murkowski",1,NA,2,1,2,1,1,1,4,2,2,2,2,2,2,1,2,16,NA,3,"Teach children",1,1,2,1,5,"You have a job and you have time to enjoy your life",2,2,1,2,2,2,9,"Kavanaugh",2,3,1,5,5,1,5,1,4,1,3,5,1,1,5,1,5,1,4,1,1,1,2,NA,6,2,4,1,2,NA,1,1,2,NA,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,1976,3,6,4,2,1,NA,1,1,2,7,2,1,NA,0.8526
16,1,20,2,4,1,2,1,1,1,6,1,1,1,1,6,1,2,1,1,1,1,1,1,"Sharice Davids","",1,NA,2,1,3,3,1,3,4,2,2,2,2,2,2,1,2,16,NA,3,"Teacher",2,1,2,1,4,"Working hard to barely get by",1,3,3,3,1,2,9,"Ginsburg",2,4,4,1,1,5,1,4,3,6,5,4,2,2,4,2,5,6,5,1,2,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,2,1981,2,6,4,2,1,NA,1,1,2,9,2,2,NA,1.0851
17,1,36,1,2,1,1,1,1,NA,2,1,1,1,3,4,2,3,1,NA,2,6,1,1,"Kirsten Gillebrand","Susan Collins",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"making enough to survive and owning a home, pay bills and have little to save.",1,1,1,3,1,2,9,"Roberts",2,2,3,1,1,5,1,3,1,3,4,4,2,1,5,2,5,2,4,2,2,5,3,NA,3,NA,2,1,1,NA,2,1,1,NA,2,1,1,2,2,1,1,2,1,3,2,2,2,2,1,2,1973,3,6,4,2,1,NA,1,1,2,10,2,2,NA,0.8574
18,1,40,3,7,1,3,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,"Nancy pelosi","Sarah sanders",1,NA,1,1,1,1,1,1,4,1,2,2,2,2,1,2,2,6,NA,1,"Doctor of physical therapy - supervisor",1,1,2,2,5,"Working blue collar jobs. 20-75000 yearly",2,2,1,1,2,1,9,"Thomas",1,6,6,6,5,1,6,6,6,1,4,4,1,1,5,1,5,1,5,2,3,1,3,NA,5,1,5,1,2,NA,1,1,2,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1985,2,6,4,2,1,NA,1,1,2,9,3,1,NA,1.1977
19,1,39,2,3,1,2,6,1,2,6,1,2,1,6,1,2,2,6,1,3,1,6,1,"Alexandria Ocasio-Cortez, Kamala Harris, Elizabeth Warren, Nancy Pelosi, Gillibrand, Ruth Bader Ginsburg (though technically not a Democrat)","Susan Collins",2,NA,2,1,2,3,3,1,3,1,2,2,2,2,2,2,2,23,NA,4,"Lots of paperwork",2,1,1,2,3,"Living pay-check to pay-check. If you're not working, you're not eating.",1,1,1,3,1,2,9,"Roberts",2,3,3,1,1,5,3,3,3,4,4,5,1,1,5,1,3,2,5,1,2,5,4,"Progressive",3,NA,1,2,7,NA,2,2,NA,NA,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,1986,2,5,3,2,1,NA,1,1,2,4,1,2,NA,1.0653
20,1,42,1,2,1,1,1,1,3,3,1,1,2,3,3,3,3,4,2,1,1,2,1,"Elizabeth Warren","Susan Collins",1,NA,2,1,2,1,3,2,2,2,2,2,2,2,2,1,2,24,"photographer",NA,"photograph families and babies",2,1,1,6,6,"lower living rates harder more time consuming work",1,1,1,3,1,1,9,"Kavanaugh",1,3,3,3,1,5,3,3,3,5,6,4,6,2,5,6,6,6,5,1,3,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,1962,4,5,3,2,1,NA,1,1,2,2,3,2,NA,0.6591
21,1,18,2,3,1,1,2,1,5,5,1,2,4,4,5,3,4,1,3,2,5,4,1,"Nancy Pelosi","Carol Miller",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,"It means you work hard and have to watch every penny you spend",1,3,1,1,2,1,9,"Clarence Thomas",2,2,2,2,2,5,2,2,2,5,3,4,4,4,5,4,4,4,4,2,2,5,3,NA,3,NA,3,1,1,NA,2,1,1,NA,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1956,4,5,3,2,1,NA,1,1,2,4,3,2,NA,0.7324
22,1,53,4,9,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,"Senator Patty Murphy","Senator Susan Collins",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6,"Economic slavery.",1,1,2,2,1,2,9,"Roberts",1,4,5,1,1,5,1,5,1,5,5,5,3,3,5,3,5,3,5,2,4,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1953,5,6,4,2,6,NA,4,2,2,3,3,1,NA,0.4943
23,1,41,4,9,1,2,1,1,2,2,2,1,1,5,4,1,6,1,1,2,2,1,2,"Nancy Pelosi","Susan Collins",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,"Work your butt off for decades, living paycheck to paycheck, only to have millionaire Republican politicians try to take away your Social Security and Medicare.",1,1,1,2,1,2,9,"Roberts",2,2,5,1,1,5,1,2,2,4,4,4,2,2,5,2,4,2,5,2,4,5,1,NA,1,NA,1,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1957,4,3,2,1,1,NA,1,1,2,5,2,2,NA,0.3865
24,1,35,4,8,1,3,3,1,3,2,1,2,1,5,3,1,4,1,1,1,NA,NA,2,"","",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,"",1,1,1,1,1,2,12,"",1,3,3,1,1,4,3,2,2,3,4,4,2,2,5,5,3,3,3,1,2,5,2,NA,6,3,3,1,2,NA,2,1,1,NA,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,1944,5,3,2,1,1,NA,1,1,2,3,2,2,NA,0.6026
25,1,5,3,7,1,1,1,1,3,3,1,1,1,5,2,1,1,1,2,2,2,2,1,"Go Nancy Pelosi!","Leslie Rutledge (in AR)",1,NA,1,1,2,4,1,3,4,2,2,2,2,2,2,1,2,16,NA,3,"Teach law students, write, and engage in public service.",1,1,2,3,5,"These days, I think it means to be lied to and manipulated by Republicans and Donald Trump. It means to possibly not make a living wage and to be food insecure. It means to not be able to make a better life for yourself and your children.",1,1,2,2,1,2,9,"Roberts",1,2,5,1,1,5,1,5,1,5,4,5,1,2,5,2,5,2,5,2,4,5,4,"being from another planet and here by mistake",3,NA,1,1,1,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1952,5,6,4,2,1,NA,1,1,2,11,2,2,NA,1.0261
26,1,53,4,9,1,2,4,3,3,4,4,2,2,6,2,2,2,2,1,2,1,1,1,"Elizabeth Warren","Susan Collins",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,"To not be able to afford even basic necessities and desperate for welfare benefits",1,1,1,3,1,3,8,"John Roberts",1,6,6,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,2,4,5,1,NA,1,NA,1,1,3,NA,2,1,1,NA,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1988,2,3,2,1,5,NA,4,2,2,2,2,2,NA,0.8582
27,1,50,1,1,1,2,6,2,6,6,1,2,2,6,6,2,3,6,2,1,1,6,2,"Elizabeth Warren","",2,NA,2,1,2,3,3,1,3,1,2,2,2,2,2,2,2,17,NA,2,"Edit and write",3,1,1,3,5,"Struggling in a less than skilled job",1,3,1,3,1,3,9,"?",1,3,3,3,1,5,3,3,3,3,6,6,6,2,4,6,6,6,6,2,3,5,3,NA,3,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1980,2,6,4,2,1,NA,1,1,2,10,3,2,NA,0.9766
28,1,54,3,5,1,6,3,3,5,5,6,3,4,6,5,4,6,3,6,2,5,4,2,"","",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,"having a job working and barely making end meet",2,3,1,3,2,3,NA,"",1,6,6,6,6,1,6,6,6,6,6,6,6,6,3,6,6,6,6,2,6,1,1,NA,2,NA,3,1,2,NA,1,1,2,NA,2,1,2,2,2,2,2,2,1,3,2,2,2,2,1,2,1950,5,2,1,1,1,NA,1,1,2,2,3,2,NA,1.4668
29,1,27,2,4,1,4,5,5,5,5,5,5,5,1,5,2,5,2,2,5,5,5,4,"Nasty Pelosi","Marsha Blackburn",2,NA,2,1,2,1,3,5,3,2,2,2,2,2,2,1,2,15,NA,3,"I create retail listings and take photographs for our products and upload them to our website. Customer service, inquiries, contact and support. Material handling, shipping and receiving.",2,1,1,3,1,"That you work at a physical labor job and rely on your pay to survive",2,2,1,1,2,1,9,"Roberts",2,2,1,5,5,1,5,1,4,1,3,4,1,1,4,1,4,1,4,2,2,1,2,NA,6,1,4,1,2,NA,1,1,2,NA,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1956,4,3,2,1,1,NA,1,1,2,4,1,1,NA,0.8422
30,1,33,1,1,1,2,1,1,1,3,1,1,1,3,1,1,1,1,1,2,1,4,1,"Ann Kuster","Susan Collins",1,NA,2,1,3,1,1,1,4,2,2,2,2,2,2,1,2,22,NA,3,"Sampling, reports, data analysis",2,2,2,1,4,"I think it means to be financially insecure, living paycheck to paycheck and making a low wage. Working class jobs generally don't require a college education.",1,1,3,3,1,2,9,"Roberts",2,6,5,6,1,5,6,6,6,6,3,4,6,2,4,6,6,6,4,2,3,5,1,NA,1,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1985,2,6,4,2,1,NA,1,1,2,5,3,2,NA,0.9766
31,1,35,4,8,1,2,3,1,2,5,4,5,4,1,4,4,2,1,4,5,5,5,1,"Waters","McSally",1,NA,2,2,3,1,3,5,4,2,2,2,2,2,2,1,2,11,NA,1,"As owner with my wife, we do ordering, finances and sales.",2,1,2,4,3,"Working as an employee with at least minimum wage.",2,2,1,2,2,2,9,"Roberts",2,1,1,2,3,1,3,2,3,1,3,3,2,1,4,2,3,3,4,1,2,2,4,"Old line Democrat",5,1,4,1,2,NA,1,1,2,NA,2,1,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1952,5,3,2,1,1,NA,1,1,2,5,2,1,NA,0.5339
32,1,4,4,8,1,4,5,5,3,5,2,5,4,5,4,5,1,1,2,4,5,5,5,"ocasio-cortez","",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,"Those involved in physical activities.",2,1,1,2,2,2,9,"",2,2,1,5,4,2,4,2,4,1,3,4,1,2,4,2,3,2,4,1,2,2,2,NA,6,2,4,1,2,NA,1,1,2,NA,1,1,1,2,1,1,1,1,1,3,2,2,2,2,1,2,1947,5,5,3,2,1,NA,1,1,2,7,2,1,NA,0.7869
33,1,6,4,9,1,4,5,2,1,5,2,5,5,5,4,2,4,4,3,5,4,5,5,"Diane Fienstein","Martha McSally",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,"Not management",2,2,1,1,2,2,9,"Roberts",1,2,1,4,3,1,4,3,3,1,3,3,1,2,5,1,3,3,5,1,2,1,2,NA,6,1,4,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1941,5,6,4,2,3,NA,3,2,1,97,2,1,NA,0.4216
34,1,12,3,5,1,6,6,4,3,5,3,5,4,4,3,3,3,2,1,2,4,4,3,"Nancy Pelosi","Jodi Ernst",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,"People who have jobs and support their families.",2,2,1,3,2,3,9,"Roberts",1,3,2,4,3,2,4,2,3,2,3,5,1,1,4,1,4,3,4,2,3,2,2,NA,6,2,4,1,2,NA,1,1,2,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1956,4,5,3,2,1,NA,1,1,2,9,2,2,NA,0.7234
35,1,45,3,5,1,1,1,2,5,3,1,4,2,6,4,4,5,1,1,1,5,2,1,"clinton","pelosi",1,NA,2,1,1,3,1,3,4,2,2,2,2,2,2,1,2,16,NA,3,"Teach",2,1,2,3,6,"Working hard for little money",2,1,1,3,2,3,9,"Roberts",2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,4,4,2,NA,6,3,4,1,2,NA,2,1,2,NA,1,NA,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1968,4,5,3,2,1,NA,1,1,2,9,3,2,NA,0.9041
36,1,48,3,7,1,5,3,4,5,5,5,5,5,5,5,3,5,5,1,3,5,5,5,"Elizabeth Warren","Cyndi Hyde-Smith",1,NA,1,1,2,1,1,3,4,2,2,2,2,2,2,1,2,19,NA,3,"Lead pastor of a church",2,1,2,3,4,"Work 40 hours per week and live paycheck to paycheck.",2,2,1,2,2,3,9,"Roberts",1,5,1,5,5,3,5,3,3,1,4,5,1,1,5,1,4,2,4,2,4,2,2,NA,7,3,5,1,2,NA,1,1,2,NA,1,1,1,2,2,2,1,2,1,1,2,2,2,2,1,2,1963,4,6,4,2,1,NA,1,1,2,7,2,1,NA,1.2354
37,1,37,3,5,1,3,5,3,3,5,2,5,2,3,5,3,1,1,3,5,5,5,2,"Occasion cortez","Lisa Murkowski",1,NA,1,1,2,1,3,2,4,2,2,2,2,2,2,1,2,3,NA,4,"Owner",2,1,1,3,2,"Manual labor",2,2,1,1,2,2,12,"Brett cavanaugh",2,3,2,5,5,1,5,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,NA,5,1,4,1,2,NA,1,1,2,NA,1,1,2,2,1,2,1,1,1,1,2,2,2,2,1,2,1954,5,4,2,1,1,NA,1,1,2,12,2,1,NA,0.8319
38,1,32,4,8,1,3,4,1,1,6,2,5,5,1,4,5,4,6,1,5,5,5,5,"?","?",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,"One who works full time for a living. Some with one job, some with two or more.",2,2,1,2,3,2,9,"?",2,1,1,4,2,1,4,1,3,1,4,4,2,3,5,2,5,3,5,1,1,1,2,NA,7,1,5,1,2,NA,1,1,2,NA,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1930,5,2,1,1,1,NA,1,1,2,97,1,2,NA,1.0442
39,1,6,4,9,1,1,3,1,3,3,1,1,1,3,2,3,1,1,3,3,1,3,1,"Kamala Harris","lisa murkowski",2,NA,2,1,1,4,3,1,2,1,2,2,2,2,1,2,2,5,NA,2,"I'm a caregiver for my parents.",2,2,1,3,4,"Anyone that has a job that provides them with pay and benefits that allows them to be a productive member of society.",1,3,1,2,1,2,9,"Roberts",2,3,5,2,1,5,2,4,2,4,3,5,1,1,5,2,4,2,5,2,5,5,1,NA,2,NA,2,1,1,NA,2,1,1,NA,1,1,1,2,1,2,1,1,1,2,1,2,2,2,2,2,1982,2,5,3,2,4,NA,4,2,2,13,2,1,NA,0.6393
